incident_id,Incident_date,state,city_or_county,address,killed,injured
1673633,2020-05-06,Texas,Fort Worth,1900 block of Meadow Dr,1,3
206303,2014-10-16,Texas,Fort Worth,Mogul Street,1,3
1755566,2020-08-04,Texas,Fort Worth,333 S Rosa Rd,0,4
621232,2016-08-04,Texas,Fort Worth,Ayers Street and Griffith Avenue,0,4
368987,2015-07-04,Texas,Fort Worth,Dewey Avenue,1,4
1993280,2021-05-02,Texas,Fort Worth,2100 block of W Adams St,0,5
557479,2016-05-11,Texas,Fort Worth,7100 block of South State Street,0,5
201052,2014-10-05,Texas,Fort Worth,East 7 Mile Road and Sherwood Street,1,5
2032220,2021-06-12,Texas,Fort Worth,400 block of E 6th St,1,14
1686414,2020-05-23,North Carolina,Four Oaks,7776 NW 44th St,0,5
1467828,2019-08-04,Indiana,Franklin,419 E 5th St,10,17
408256,2015-09-05,Maryland,Frederick,1509 Ashley Street,0,4
1020574,2018-01-04,Illinois,Freeport,615 W 6th St,1,3
853901,2017-05-28,Ohio,Fremont,100 block of 6th Street South,0,12
1519090,2019-10-03,California,Fresno,700 South Foushee St,1,3
965251,2017-10-21,California,Fresno,1200 block of W Carlas Ln,0,4
1652642,2020-04-05,California,Fresno,181 Rockaway Pky,0,4
1600221,2020-01-19,California,Fresno,6761 Winchester Rd,1,4
348606,2015-05-28,California,Fresno,84th and Q,0,4
1964085,2021-03-28,California,Fresno,I-57 and W 127th St,0,4
1722839,2020-07-02,California,Fresno,N Main St and Jefferson St,1,4
1111649,2018-05-09,California,Fresno,Sahler St and N 48th St,0,4
831800,2017-04-29,California,Fresno,10000 block of Carmentia Rd,1,5
437836,2015-10-27,California,Fresno,1700 block of Southcrest Drive,0,5
1788401,2020-09-08,California,Fresno,2300 block of Greenmount Ave,0,5
455394,2015-11-29,California,Fresno,648 E Court St,0,5
688429,2016-10-28,California,Fresno,200 block of Lorenz Blvd,0,6
2039964,2021-06-19,California,Fresno,2200 block of Lakeshore Ave,1,7
567673,2016-05-29,Tennessee,Friendship,600 block of Martin Luther King Jr. Boulevard,0,6
2079920,2021-08-01,Missouri,Fulton,1600 block of Iberville St,1,3
2041555,2021-06-21,South Carolina,Gaffney,300 block of 50th St NE,0,4
1777180,2020-08-26,Florida,Gainesville,252 Carriage Circle Dr,3,1
1303303,2019-01-16,Florida,Gainesville,Ranch Center Dr and 40th St W,3,1
1852363,2020-11-14,Florida,Gainesville,La Sierra Avenue and Tin Mine Road,2,3
2125613,2021-09-25,Florida,Gainesville,800 block of Mohawk St,0,4
1734064,2020-07-13,Illinois,Galesburg,1200 block of W Hill St,1,3
853032,2017-05-27,New Mexico,Gallup,318 W 14th St,0,4
559194,2016-05-15,California,Gardena,420 North Garvin Street,0,4
1877628,2020-12-10,California,Gardena,700 block of 17 1/2 St,0,4
2049907,2021-06-30,Texas,Garland,6500 block of Lapalco Blvd,0,4
1732993,2020-07-12,Kentucky,Garrison,Madison St and Marcus Garvey Blvd,1,3
546818,2016-04-24,Indiana,Gary,1400 block of 14th Street,0,4
869838,2017-06-17,Indiana,Gary,50 block of N Latrobe Ave,0,4
358117,2015-06-15,Indiana,Gary,673 Flatbush Avenue,0,4
1951383,2021-03-12,Indiana,Gary,7408 Cameron Rd,0,4
2054233,2021-07-04,Indiana,Gary,Kinsman Rd and E 139th St,0,4
2071343,2021-07-22,Indiana,Gary,9717 N Houston Rosslyn Rd,1,5
1741838,2020-07-21,Indiana,Gary,1018 W 79th St,0,15
1156528,2018-07-05,North Carolina,Gastonia,1600 block of W. 2nd Street,3,3
268282,2014-12-22,North Carolina,Gastonia,Charlevoix and Philip,1,3
683142,2016-10-23,North Carolina,Gastonia,Highway 66 and N 3310 Rd,1,5
156823,2014-05-10,New York,Gates,3031 Guadalajara Way,1,6
634731,2016-08-20,South Dakota,Geddes,900 block of Pacific Avenue,0,5
1733702,2020-07-13,Texas,Georgetown,Remsen Ave,0,6
1908063,2020-12-08,Maryland,Germantown,611 Flynns Creek Rd,6,0
1410442,2019-05-31,Maryland,Germantown,2405 Courthouse Drive,13,4
583362,2016-06-18,Maryland,Germantown,East 79th Street and South Escanaba Avenue,0,4
433146,2015-10-19,Arizona,Gila Bend,300 Campbell Avenue,0,6
769889,2017-02-08,California,Gilroy,16379 Euclid Ave,1,4
1952281,2021-03-14,Virginia,Glade Spring,6798 block of S South Chicago Ave,2,13
1759237,2020-08-08,Arizona,Glendale,426 18th St,1,5
1108879,2018-05-05,Arizona,Glendale,4944 Sentry Street,0,5
1161366,2018-06-23,Arizona,Globe,319 N High St,0,4
1711285,2020-06-20,California,Goleta,Marcellus St and Wyoming St,1,8
736690,2016-12-28,Louisiana,Gonzales,2914 10th Street,1,4
1827437,2020-10-18,Colorado,Grand Junction,100 block of Clay St,1,3
1749873,2020-07-29,Michigan,Grand Rapids,537 Willow Park Rd,5,0
1871627,2020-12-05,Michigan,Grand Rapids,25000 block of Eldridge Ave,1,3
353037,2015-06-06,Michigan,Grand Rapids,100 block of North Lorel Avenue,0,5
1503192,2019-09-12,Indiana,Granger,1028 Lura Pl SW,4,2
1381857,2019-04-28,South Carolina,Graniteville,1407 Dr DB Todd Jr Blvd,0,7
1208397,2018-09-11,Utah,Grantsville,10600 block of S Bensley Avenue,0,4
300860,2015-03-04,Louisiana,Gray,190 block of W Club Center Dr,3,4
916551,2017-08-19,Montana,Great Falls,11143 Superior Ave,1,4
1765624,2020-08-16,Arkansas,Greenbrier,700 block of Chalfonte Pl,1,3
1254225,2018-11-13,North Carolina,Greensboro,CR 1 and Defiance Draw Rd,4,1
1674299,2020-05-06,North Carolina,Greensboro,Barron Ave and Dogwood Dr,2,2
2046574,2021-06-27,North Carolina,Greensboro,2051 Lincoln Hwy,1,3
2094457,2021-08-18,North Carolina,Greensboro,Ridgeway Ave and Wabash St,1,3
623439,2016-08-07,North Carolina,Greensboro,100 block of South Springfield,0,4
2030639,2021-06-10,North Carolina,Greensboro,150 Elm St,0,4
1310397,2019-01-24,South Carolina,Greenville,319 Williamson St,4,1
646995,2016-09-03,South Carolina,Greenville,600 block of North 30th St,1,3
1347974,2019-03-16,Mississippi,Greenville,619 Ferry Ave,1,3
426559,2015-09-25,Texas,Greenville,1300 block of May Street,0,4
1526952,2019-10-13,Florida,Greenville,Main St,0,4
853796,2017-05-28,Georgia,Greenville,86 Main Street,1,5
546244,2016-04-23,South Carolina,Greenwood,1200 block of Lee Road 83,3,1
1986593,2021-04-25,Mississippi,Greenwood,1900 E 6th St,1,3
518266,2016-03-08,South Carolina,Greenwood,Sherman St,2,3
630007,2016-08-14,Mississippi,Greenwood,1600 block of Selden Avenue,0,4
547639,2016-04-25,South Carolina,Greenwood,400 Charlotte Avenue,0,4
1179677,2018-08-05,South Carolina,Greenwood,900 block of S Karlov Ave,0,4
1162785,2018-07-13,Mississippi,Grenada,1401 Roseneath Rd,1,3
1202274,2018-09-02,Oregon,Gresham,43 12th Ave,2,2
1876552,2020-12-12,Oregon,Gresham,8600 block of Old Ardmore Rd,2,2
373095,2015-07-12,Oregon,Gresham,116 Lathrop Ave,2,3
135904,2014-05-18,New York,Guilderland,1643 Cleveland Rd,0,7
577938,2016-06-11,Mississippi,Gulfport,Alvarado Avenue,1,3
2035733,2021-06-14,Maryland,Gwynn Oak (Woodlawn),3400 8th Ave,2,2
1980689,2021-04-18,Florida,Haines City,1548 Sheridan Rd,3,3
1732688,2020-07-12,Virginia,Halifax,3029 BeauJardin Dr,0,5
1097700,2018-04-22,Connecticut,Hamden,1900 block of St Roch Ave,2,4
1353714,2019-03-24,Connecticut,Hamden,1300 Fillmore St,1,5
1439593,2019-07-05,Ohio,Hamilton,1600 block of E 67th St,0,5
1368597,2019-04-11,Georgia,Hampton,2200 block of Ruskin Ave,1,3
1642826,2020-03-20,Virginia,Hampton,1923 Prairie Ave,0,4
822750,2017-04-15,Virginia,Hampton,900 block of N Allen St,0,4
1487224,2019-08-24,South Carolina,Hanahan,Warren Street,1,3
855764,2017-05-30,Oregon,Happy Valley,1200 Elliott Dr,1,3
743995,2017-01-06,Delaware,Harrington,100 Terminal Dr,5,6
297681,2015-02-25,Connecticut,Hartford,5022 Mallow St,3,1
443821,2015-11-08,Connecticut,Hartford,4397 NW 6th Drive,1,3
1610240,2020-01-30,Connecticut,Hartford,100 block of W 18th St,0,4
412996,2015-09-12,Connecticut,Hartford,1500 block of Clanton Street,0,4
1785593,2020-09-03,Connecticut,Hartford,19 Nandina Cir,0,4
1109322,2018-05-06,Connecticut,Hartford,499 N Watkins St,2,4
886002,2017-07-08,Connecticut,Hartford,700 block of Oakwood Ave,0,4
2040243,2021-06-20,Connecticut,Hartford,7321 Heritage Square Dr,1,4
150344,2014-06-21,Connecticut,Hartford,2119 East Alcy Road,0,5
1027013,2018-01-14,South Carolina,Hartsville,101 Westchester Dr,0,4
865186,2017-06-10,Illinois,Harvey,571 East Street,0,4
